status,distance_bin,beta
R882,"(-1140.0, -1110.0]",0.2040910003113688
R882,"(-1110.0, -1080.0]",0.19075285466977226
R882,"(-1080.0, -1050.0]",0.1799749723021096
R882,"(-1050.0, -1020.0]",0.1798743878909978
R882,"(-1020.0, -990.0]",0.16617985376742486
R882,"(-990.0, -960.0]",0.17175437731857843
R882,"(-960.0, -930.0]",0.16534928387371634
R882,"(-930.0, -900.0]",0.136961963533607
R882,"(-900.0, -870.0]",0.13832875242690737
R882,"(-870.0, -840.0]",0.15043082284425333
R882,"(-840.0, -810.0]",0.14541733980704283
R882,"(-810.0, -780.0]",0.13899353885126592
R882,"(-780.0, -750.0]",0.13459523392664602
R882,"(-750.0, -720.0]",0.12757503746643892
R882,"(-720.0, -690.0]",0.1282342322612826
R882,"(-690.0, -660.0]",0.1351942365416068
R882,"(-660.0, -630.0]",0.13642669424158305
R882,"(-630.0, -600.0]",0.14402335177273956
R882,"(-600.0, -570.0]",0.1518310233586258
R882,"(-570.0, -540.0]",0.13626914287187464
R882,"(-540.0, -510.0]",0.12872948837684353
R882,"(-510.0, -480.0]",0.1267187354285423
R882,"(-480.0, -450.0]",0.1287622039084184
R882,"(-450.0, -420.0]",0.12686280004428435
R882,"(-420.0, -390.0]",0.1436145320144891
R882,"(-390.0, -360.0]",0.14349156445379288
R882,"(-360.0, -330.0]",0.14685292123355512
R882,"(-330.0, -300.0]",0.13313526851282126
R882,"(-300.0, -270.0]",0.13830964170785817
R882,"(-270.0, -240.0]",0.1389074486501915
R882,"(-240.0, -210.0]",0.16272970210267815
R882,"(-210.0, -180.0]",0.1611077957229357
R882,"(-180.0, -150.0]",0.1672309241361996
R882,"(-150.0, -120.0]",0.17325166602150274
R882,"(-120.0, -90.0]",0.17444612377548624
R882,"(-90.0, -60.0]",0.19184827515047936
R882,"(-60.0, -30.0]",0.20118241240871887
R882,"(-30.0, 0.0]",0.3167781198106837
WT,"(-3000.0, -2970.0]",0.4840814290115217
WT,"(-2970.0, -2940.0]",0.4573385052249285
WT,"(-2940.0, -2910.0]",0.43155993478348376
WT,"(-2910.0, -2880.0]",0.46463758015514284
WT,"(-2880.0, -2850.0]",0.44455335959983333
WT,"(-2850.0, -2820.0]",0.42739753516958034
WT,"(-2820.0, -2790.0]",0.44457714344312094
WT,"(-2790.0, -2760.0]",0.4558200557293555
WT,"(-2760.0, -2730.0]",0.4489120894527094
WT,"(-2730.0, -2700.0]",0.42741888735597666
WT,"(-2700.0, -2670.0]",0.3971558871126524
WT,"(-2670.0, -2640.0]",0.40321540941013845
WT,"(-2640.0, -2610.0]",0.41483923036151804
WT,"(-2610.0, -2580.0]",0.4391385095908262
WT,"(-2580.0, -2550.0]",0.43775435247466926
WT,"(-2550.0, -2520.0]",0.40425782223885315
WT,"(-2520.0, -2490.0]",0.36940638837566653
WT,"(-2490.0, -2460.0]",0.36519245312460075
WT,"(-2460.0, -2430.0]",0.3983464855167164
WT,"(-2430.0, -2400.0]",0.4118489717191793
WT,"(-2400.0, -2370.0]",0.4168042650799887
WT,"(-2370.0, -2340.0]",0.3952221578452742
WT,"(-2340.0, -2310.0]",0.3694190637413243
WT,"(-2310.0, -2280.0]",0.3702555785213901
WT,"(-2280.0, -2250.0]",0.3952246702940422
WT,"(-2250.0, -2220.0]",0.36097228488376765
WT,"(-2220.0, -2190.0]",0.37724900238104
WT,"(-2190.0, -2160.0]",0.35865410942157155
WT,"(-2160.0, -2130.0]",0.3462080834742217
WT,"(-2130.0, -2100.0]",0.3500316848062091
WT,"(-2100.0, -2070.0]",0.37316730248343144
WT,"(-2070.0, -2040.0]",0.3490878342937199
WT,"(-2040.0, -2010.0]",0.3467149474361718
WT,"(-2010.0, -1980.0]",0.3420732184237651
WT,"(-1980.0, -1950.0]",0.30585829379187784
WT,"(-1950.0, -1920.0]",0.3128629846902213
WT,"(-1920.0, -1890.0]",0.30213605095889107
WT,"(-1890.0, -1860.0]",0.29639618336015056
WT,"(-1860.0, -1830.0]",0.32915421168968695
